"","var","rel.inf","run"
"logShelfAreaShallow","logShelfAreaShallow",25.4525909419209,4
"logMang","logMang",14.3763411430802,4
"logtotalGearTonnes","logtotalGearTonnes",13.5967438805859,4
"logProteinDiet","logProteinDiet",9.56963822105469,4
"WGI","WGI",7.10639314011498,4
"logGDP","logGDP",5.95334533751006,4
"logCoastPop","logCoastPop",4.93034401666057,4
"logChondCatch","logChondCatch",4.54216613328782,4
"HDI","HDI",4.03645254424615,4
"logEstDis","logEstDis",3.42036228159205,4
"logFishEffort","logFishEffort",2.33449816486001,4
"logPprodMean","logPprodMean",2.12247153201146,4
"SstMean","SstMean",1.43968328718507,4
"speciesgreen","speciesgreen",0.458851603191894,4
"speciessmall","speciessmall",0.433166358015424,4
"specieslarge","specieslarge",0.226951414682935,4
"speciesdwarf","speciesdwarf",0,4
"speciesnarrow","speciesnarrow",0,4
