"","var","rel.inf","run"
"logShelfAreaShallow","logShelfAreaShallow",24.5694509128652,5
"logMang","logMang",13.7602490514448,5
"logtotalGearTonnes","logtotalGearTonnes",13.7503308608173,5
"logProteinDiet","logProteinDiet",9.5815703939598,5
"WGI","WGI",6.99452330792834,5
"logGDP","logGDP",6.41247104243186,5
"logChondCatch","logChondCatch",5.30746752550157,5
"logCoastPop","logCoastPop",5.05745233329371,5
"HDI","HDI",3.9650272336595,5
"logEstDis","logEstDis",3.12948900108993,5
"logPprodMean","logPprodMean",2.4838805362875,5
"logFishEffort","logFishEffort",2.14507412687843,5
"SstMean","SstMean",1.67440976217035,5
"speciesgreen","speciesgreen",0.473713813134063,5
"speciessmall","speciessmall",0.466566974472697,5
"specieslarge","specieslarge",0.228323124064964,5
"speciesdwarf","speciesdwarf",0,5
"speciesnarrow","speciesnarrow",0,5
