"","ISO3","occurrence","RunNo","PredValue"
"1","ARE",1,"1",0.411525796149337
"2","BRB",0,"1",0.0711294509747269
"3","CIV",0,"1",0.261781395787762
"4","CIV",0,"1",0.123178415381745
"5","CMR",0,"1",0.405350815923031
"6","GHA",0,"1",0.299770119178424
"7","GIN",0,"1",0.151501110181169
"8","GNQ",0,"1",0.111785195587865
"9","GRD",0,"1",0.0673828754361273
"10","GRD",0,"1",0.0695002690161532
"11","GUY",1,"1",0.293501846587759
"12","HND",1,"1",0.895144176767193
"13","IDN",1,"1",0.64595922096074
"14","IDN",1,"1",0.667609562787759
"15","IND",1,"1",0.505023527105419
"16","LCA",0,"1",0.0663981235644358
"17","MAR",0,"1",0.236819387326905
"18","MOZ",1,"1",0.583528792061255
"19","MYS",0,"1",0.646660434004023
"20","MYS",0,"1",0.628485778060609
"21","PAK",1,"1",0.182852784374889
"22","PAK",1,"1",0.17711954659883
"23","PNG",1,"1",0.893355478449639
"24","TGO",0,"1",0.0842277609071552
"25","VCT",0,"1",0.0950486480779199
"26","ARE",1,"13",0.418124587977628
"27","BRB",0,"13",0.063304219378406
"28","CIV",0,"13",0.224055622031002
"29","CIV",0,"13",0.110533158474447
"30","CMR",0,"13",0.33200670558844
"31","GHA",0,"13",0.280715308236523
"32","GIN",0,"13",0.121604574360724
"33","GNQ",0,"13",0.105821966838195
"34","GRD",0,"13",0.0611697341191483
"35","GRD",0,"13",0.0614297765457891
"36","GUY",1,"13",0.288468976864408
"37","HND",1,"13",0.89223362149784
"38","IDN",1,"13",0.617320592036202
"39","IDN",1,"13",0.636041205991323
"40","IND",1,"13",0.515377133334529
"41","LCA",0,"13",0.0582568656623088
"42","MAR",0,"13",0.240338522744827
"43","MOZ",1,"13",0.583241223075584
"44","MYS",0,"13",0.664195499630019
"45","MYS",0,"13",0.646613093376667
"46","PAK",1,"13",0.191936447519291
"47","PAK",1,"13",0.190111389176627
"48","PNG",1,"13",0.900571119402222
"49","TGO",0,"13",0.0726574340194496
"50","VCT",0,"13",0.0861923002311206
"51","ARE",1,"23",0.4513387597634
"52","BRB",0,"23",0.0831672643254136
"53","CIV",0,"23",0.279862071834075
"54","CIV",0,"23",0.140218131135396
"55","CMR",0,"23",0.416717486628663
"56","GHA",0,"23",0.305841906209025
"57","GIN",0,"23",0.158157916658341
"58","GNQ",0,"23",0.127247745079066
"59","GRD",0,"23",0.0774872255671896
"60","GRD",0,"23",0.080136130980522
"61","GUY",1,"23",0.335744728815888
"62","HND",1,"23",0.851779597964317
"63","IDN",1,"23",0.637742857504805
"64","IDN",1,"23",0.654453119417561
"65","IND",1,"23",0.488788983353862
"66","LCA",0,"23",0.0791789327639392
"67","MAR",0,"23",0.220045343053839
"68","MOZ",1,"23",0.594817240281831
"69","MYS",0,"23",0.626911558201645
"70","MYS",0,"23",0.610404696749134
"71","PAK",1,"23",0.205209330593806
"72","PAK",1,"23",0.198641893139089
"73","PNG",1,"23",0.874638612173439
"74","TGO",0,"23",0.0831763890201428
"75","VCT",0,"23",0.107123915092814
"76","ARE",1,"32",0.347765466882366
"77","BRB",0,"32",0.0449963276242287
"78","CIV",0,"32",0.16408101672011
"79","CIV",0,"32",0.0834785592651205
"80","CMR",0,"32",0.293751510856263
"81","GHA",0,"32",0.238963767946446
"82","GIN",0,"32",0.0976090988559154
"83","GNQ",0,"32",0.0862069827702624
"84","GRD",0,"32",0.0418255869005833
"85","GRD",0,"32",0.0428589070153806
"86","GUY",1,"32",0.199238876167522
"87","HND",1,"32",0.913783712849604
"88","IDN",1,"32",0.623543260234179
"89","IDN",1,"32",0.652412236892236
"90","IND",1,"32",0.565632432033908
"91","LCA",0,"32",0.0426835343847675
"92","MAR",0,"32",0.206551959515424
"93","MOZ",1,"32",0.52738791355929
"94","MYS",0,"32",0.646600825027818
"95","MYS",0,"32",0.629752858248142
"96","PAK",1,"32",0.164449063222408
"97","PAK",1,"32",0.147663233175303
"98","PNG",1,"32",0.928796214073537
"99","TGO",0,"32",0.0469505109888546
"100","VCT",0,"32",0.0640532119760138
