"","ISO3","occurrence","RunNo","PredValue"
"1","ARE",1,"8",0.313042400906811
"2","BRB",0,"8",0.0415290221018558
"3","CIV",0,"8",0.166605371537777
"4","CIV",0,"8",0.0721485198732493
"5","CMR",0,"8",0.2912480128576
"6","GHA",0,"8",0.243734323960007
"7","GIN",0,"8",0.0838024908787919
"8","GNQ",0,"8",0.0808479510936004
"9","GRD",0,"8",0.0338391986246072
"10","GRD",0,"8",0.0354195882049334
"11","GUY",1,"8",0.214751964380293
"12","HND",1,"8",0.912027999986524
"13","IDN",1,"8",0.625697240997058
"14","IDN",1,"8",0.65079393786393
"15","IND",1,"8",0.54733780084353
"16","LCA",0,"8",0.0349173219065058
"17","MAR",0,"8",0.255712433250763
"18","MOZ",1,"8",0.51509966711355
"19","MYS",0,"8",0.680239358794412
"20","MYS",0,"8",0.650040743150728
"21","PAK",1,"8",0.14895536243237
"22","PAK",1,"8",0.134282525533801
"23","PNG",1,"8",0.932072637547332
"24","TGO",0,"8",0.0495201767740703
"25","VCT",0,"8",0.0640829348115178
"26","ARE",1,"20",0.408164487530696
"27","BRB",0,"20",0.0752237362356227
"28","CIV",0,"20",0.262248270434592
"29","CIV",0,"20",0.115194983748748
"30","CMR",0,"20",0.384874109906175
"31","GHA",0,"20",0.305935505304775
"32","GIN",0,"20",0.155060103392049
"33","GNQ",0,"20",0.127162144843754
"34","GRD",0,"20",0.0686036692015186
"35","GRD",0,"20",0.0733332936508363
"36","GUY",1,"20",0.269347015412475
"37","HND",1,"20",0.865186964085963
"38","IDN",1,"20",0.654066230632722
"39","IDN",1,"20",0.673879571595404
"40","IND",1,"20",0.495557044451381
"41","LCA",0,"20",0.067977003670181
"42","MAR",0,"20",0.229481355981653
"43","MOZ",1,"20",0.567963455291245
"44","MYS",0,"20",0.633191236973197
"45","MYS",0,"20",0.604493420439902
"46","PAK",1,"20",0.190187491083687
"47","PAK",1,"20",0.184371874759381
"48","PNG",1,"20",0.888759253592226
"49","TGO",0,"20",0.0823584145748592
"50","VCT",0,"20",0.100259770947246
"51","ARE",1,"30",0.381381921916553
"52","BRB",0,"30",0.0670198757877485
"53","CIV",0,"30",0.237862264005399
"54","CIV",0,"30",0.115484747024666
"55","CMR",0,"30",0.339586257557495
"56","GHA",0,"30",0.326805523781802
"57","GIN",0,"30",0.138587583940852
"58","GNQ",0,"30",0.104284293344763
"59","GRD",0,"30",0.0585790483021942
"60","GRD",0,"30",0.060236359512692
"61","GUY",1,"30",0.274608940596743
"62","HND",1,"30",0.896137978858964
"63","IDN",1,"30",0.6379679211722
"64","IDN",1,"30",0.653431735720162
"65","IND",1,"30",0.524943420321927
"66","LCA",0,"30",0.0588477138401897
"67","MAR",0,"30",0.263037287062283
"68","MOZ",1,"30",0.566812863952589
"69","MYS",0,"30",0.618837346593982
"70","MYS",0,"30",0.606943591060478
"71","PAK",1,"30",0.172122334210537
"72","PAK",1,"30",0.157679278411263
"73","PNG",1,"30",0.900032937790535
"74","TGO",0,"30",0.0702935776882539
"75","VCT",0,"30",0.0854947021877574
