"","var","rel.inf","run"
"logShelfAreaShallow","logShelfAreaShallow",25.4525909419209,4
"logMang","logMang",14.3763411430802,4
"logtotalGearTonnes","logtotalGearTonnes",13.5967438805859,4
"logProteinDiet","logProteinDiet",9.56963822105469,4
"WGI","WGI",7.10639314011498,4
"logGDP","logGDP",5.95334533751006,4
"logCoastPop","logCoastPop",4.93034401666057,4
"logChondCatch","logChondCatch",4.54216613328782,4
"HDI","HDI",4.03645254424615,4
"logEstDis","logEstDis",3.42036228159205,4
"logFishEffort","logFishEffort",2.33449816486001,4
"logPprodMean","logPprodMean",2.12247153201146,4
"SstMean","SstMean",1.43968328718507,4
"speciesgreen","speciesgreen",0.458851603191894,4
"speciessmall","speciessmall",0.433166358015424,4
"specieslarge","specieslarge",0.226951414682935,4
"speciesdwarf","speciesdwarf",0,4
"speciesnarrow","speciesnarrow",0,4
"logShelfAreaShallow1","logShelfAreaShallow",25.7631615771853,19
"logMang1","logMang",14.2934684534206,19
"logtotalGearTonnes1","logtotalGearTonnes",13.9752416030437,19
"logProteinDiet1","logProteinDiet",9.15416599873591,19
"WGI1","WGI",7.04077581677308,19
"logChondCatch1","logChondCatch",5.55071643135387,19
"logGDP1","logGDP",5.53437223326621,19
"logCoastPop1","logCoastPop",5.26144743859926,19
"HDI1","HDI",3.35162268475391,19
"logEstDis1","logEstDis",2.97926805456291,19
"logFishEffort1","logFishEffort",2.46840621958961,19
"logPprodMean1","logPprodMean",1.82400266832193,19
"SstMean1","SstMean",1.59135469415739,19
"speciessmall1","speciessmall",0.694668071526989,19
"speciesgreen1","speciesgreen",0.279738016286058,19
"specieslarge1","specieslarge",0.237590038423321,19
"speciesdwarf1","speciesdwarf",0,19
"speciesnarrow1","speciesnarrow",0,19
