"","ISO3","Prediction","RunNo"
"147","BRN",0.146384185570256,"24"
"148","KHM",0.164751209701943,"24"
"149","CHN",0.209624777484073,"24"
"150","DJI",0.129237117296618,"24"
"151","EGY",0.218846855742417,"24"
"152","IND",0.579907983170951,"24"
"153","IRN",0.36262007951621,"24"
"154","IRQ",0.172044697983653,"24"
"155","KWT",0.675615847653614,"24"
"156","MDG",0.872602877001477,"24"
"157","MMR",0.630299562267238,"24"
"158","SGP",0.121627756769863,"24"
"159","SOM",0.698889133936423,"24"
"160","LKA",0.815295817057561,"24"
"161","TWN",0.141874589440482,"24"
"162","TZA",0.875819020759641,"24"
"163","TLS",0.735753094863061,"24"
"164","VNM",0.339921652398384,"24"
"165","YEM",0.622806518153525,"24"
"166","SLB",0.748471577777995,"24"
"167","BRA",0.841130560348735,"24"
"168","COL",0.873723002967303,"24"
"169","CRI",0.594494550570876,"24"
"170","DOM",0.274344031527386,"24"
"171","GUF",0.716591892157507,"24"
"172","GIN",0.148318910175208,"24"
"173","GUY",0.268392901728287,"24"
"174","HTI",0.150137985872959,"24"
"175","PAN",0.86315947149616,"24"
"176","SUR",0.736199478018202,"24"
"177","VEN",0.346661837975213,"24"
