"","var","rel.inf","run"
"logShelfAreaShallow","logShelfAreaShallow",24.9140254083124,6
"logMang","logMang",15.0681159948883,6
"logtotalGearTonnes","logtotalGearTonnes",14.2071087471174,6
"logProteinDiet","logProteinDiet",9.27715316026138,6
"WGI","WGI",7.38854311630243,6
"logGDP","logGDP",5.27033764507306,6
"logCoastPop","logCoastPop",4.92003418271277,6
"logChondCatch","logChondCatch",4.3461732802812,6
"HDI","HDI",3.96022464912101,6
"logEstDis","logEstDis",3.20011893978998,6
"logFishEffort","logFishEffort",2.31741110085224,6
"logPprodMean","logPprodMean",2.13902714246906,6
"SstMean","SstMean",1.6399912869795,6
"speciessmall","speciessmall",0.620951789401761,6
"speciesgreen","speciesgreen",0.49278225752235,6
"specieslarge","specieslarge",0.238001298915166,6
"speciesdwarf","speciesdwarf",0,6
"speciesnarrow","speciesnarrow",0,6
"logShelfAreaShallow1","logShelfAreaShallow",25.1929433200565,15
"logMang1","logMang",14.733236253706,15
"logtotalGearTonnes1","logtotalGearTonnes",14.6072406636282,15
"logProteinDiet1","logProteinDiet",9.45667004994749,15
"WGI1","WGI",7.67233891130206,15
"logChondCatch1","logChondCatch",5.84642668526588,15
"logGDP1","logGDP",5.44335477003232,15
"logCoastPop1","logCoastPop",4.4993812245548,15
"HDI1","HDI",3.05250678234851,15
"logEstDis1","logEstDis",2.63974743985492,15
"logPprodMean1","logPprodMean",2.37674430075522,15
"logFishEffort1","logFishEffort",2.09006378878416,15
"SstMean1","SstMean",1.47702975261623,15
"speciessmall1","speciessmall",0.42401102153398,15
"speciesgreen1","speciesgreen",0.3217923165872,15
"specieslarge1","specieslarge",0.166512719026449,15
"speciesdwarf1","speciesdwarf",0,15
"speciesnarrow1","speciesnarrow",0,15
"logShelfAreaShallow2","logShelfAreaShallow",24.3966876429546,26
"logtotalGearTonnes2","logtotalGearTonnes",14.2086947279236,26
"logMang2","logMang",13.9904906588623,26
"logProteinDiet2","logProteinDiet",9.25086715001669,26
"WGI2","WGI",6.96757210968344,26
"logGDP2","logGDP",6.46668195622002,26
"logChondCatch2","logChondCatch",5.27568895880336,26
"logCoastPop2","logCoastPop",4.93589965237186,26
"HDI2","HDI",3.48387343003484,26
"logEstDis2","logEstDis",3.32687076096793,26
"logFishEffort2","logFishEffort",2.58476861197541,26
"logPprodMean2","logPprodMean",2.20292487525318,26
"SstMean2","SstMean",1.75833175387671,26
"speciessmall2","speciessmall",0.433000034200879,26
"speciesgreen2","speciesgreen",0.41701333866636,26
"specieslarge2","specieslarge",0.300634338188787,26
"speciesdwarf2","speciesdwarf",0,26
"speciesnarrow2","speciesnarrow",0,26
