"","ISO3","occurrence","RunNo","PredValue"
"1","ARE",1,"6",0.396558460619856
"2","BRB",0,"6",0.0522550806326814
"3","CIV",0,"6",0.227437932126433
"4","CIV",0,"6",0.101551462972576
"5","CMR",0,"6",0.306092784073602
"6","GHA",0,"6",0.275979529069685
"7","GIN",0,"6",0.117350199162359
"8","GNQ",0,"6",0.100783332949179
"9","GRD",0,"6",0.050378576191066
"10","GRD",0,"6",0.0535824466345347
"11","GUY",1,"6",0.261128517750039
"12","HND",1,"6",0.886602673040729
"13","IDN",1,"6",0.630589880756486
"14","IDN",1,"6",0.651697192759607
"15","IND",1,"6",0.528954630197001
"16","LCA",0,"6",0.0513048705302954
"17","MAR",0,"6",0.215657121989434
"18","MOZ",1,"6",0.541334982123364
"19","MYS",0,"6",0.656912200634775
"20","MYS",0,"6",0.630833925293387
"21","PAK",1,"6",0.162621361891777
"22","PAK",1,"6",0.155752109516506
"23","PNG",1,"6",0.914034949540246
"24","TGO",0,"6",0.0616812599053173
"25","VCT",0,"6",0.0834058906487345
"26","ARE",1,"15",0.391532268852683
"27","BRB",0,"15",0.0570808289215412
"28","CIV",0,"15",0.212997285832731
"29","CIV",0,"15",0.0999528001860445
"30","CMR",0,"15",0.361960494919151
"31","GHA",0,"15",0.263966769118659
"32","GIN",0,"15",0.129634124737185
"33","GNQ",0,"15",0.107481233532499
"34","GRD",0,"15",0.0523196829379638
"35","GRD",0,"15",0.0533651720624647
"36","GUY",1,"15",0.279378572637568
"37","HND",1,"15",0.892533675078197
"38","IDN",1,"15",0.651442448890183
"39","IDN",1,"15",0.665046301367755
"40","IND",1,"15",0.505887924705613
"41","LCA",0,"15",0.051451327249506
"42","MAR",0,"15",0.235529808378489
"43","MOZ",1,"15",0.560770931489052
"44","MYS",0,"15",0.625417287638885
"45","MYS",0,"15",0.59289944126357
"46","PAK",1,"15",0.161626991868555
"47","PAK",1,"15",0.161013461090854
"48","PNG",1,"15",0.907617849102448
"49","TGO",0,"15",0.0646194724968828
"50","VCT",0,"15",0.0840748800983152
"51","ARE",1,"26",0.295004079942351
"52","BRB",0,"26",0.0337975229032833
"53","CIV",0,"26",0.142917446955539
"54","CIV",0,"26",0.0628361064881337
"55","CMR",0,"26",0.276059037133598
"56","GHA",0,"26",0.254193097962925
"57","GIN",0,"26",0.0943394346071687
"58","GNQ",0,"26",0.0712226064402165
"59","GRD",0,"26",0.0339083350979361
"60","GRD",0,"26",0.0359207997986297
"61","GUY",1,"26",0.170062476215355
"62","HND",1,"26",0.932378223439794
"63","IDN",1,"26",0.619654825733623
"64","IDN",1,"26",0.649986729710761
"65","IND",1,"26",0.563724842339312
"66","LCA",0,"26",0.0328245746037882
"67","MAR",0,"26",0.264450705503428
"68","MOZ",1,"26",0.472626582789879
"69","MYS",0,"26",0.659213421987629
"70","MYS",0,"26",0.634986672059266
"71","PAK",1,"26",0.147771994609363
"72","PAK",1,"26",0.12574858963419
"73","PNG",1,"26",0.944224652483259
"74","TGO",0,"26",0.037758218620344
"75","VCT",0,"26",0.0488193298740566
"76","ARE",1,"40",0.428814535222969
"77","BRB",0,"40",0.0711028144036594
"78","CIV",0,"40",0.241666544277454
"79","CIV",0,"40",0.13231416693593
"80","CMR",0,"40",0.369682775686338
"81","GHA",0,"40",0.322703280591999
"82","GIN",0,"40",0.14092793064298
"83","GNQ",0,"40",0.119871889524164
"84","GRD",0,"40",0.0667702688876399
"85","GRD",0,"40",0.0682235673202126
"86","GUY",1,"40",0.262615756826307
"87","HND",1,"40",0.869462326410224
"88","IDN",1,"40",0.650175963646716
"89","IDN",1,"40",0.667591872095636
"90","IND",1,"40",0.534110790298064
"91","LCA",0,"40",0.0649418236155754
"92","MAR",0,"40",0.228591187385443
"93","MOZ",1,"40",0.581588604631888
"94","MYS",0,"40",0.620469426297846
"95","MYS",0,"40",0.596280849968418
