"","ISO3","occurrence","RunNo","PredValue"
"138","IDN",1,"51",0.630021636409116
"139","IDN",1,"51",0.648011382886351
"140","IND",1,"51",0.538161044411232
"141","LCA",0,"51",0.0459912496442514
"142","MAR",0,"51",0.228985284580319
"143","MOZ",1,"51",0.554619030867882
"144","MYS",0,"51",0.659869585092665
"145","MYS",0,"51",0.643825600638117
"146","PAK",1,"51",0.157587666623546
"147","PAK",1,"51",0.14084521692126
"148","PNG",1,"51",0.923395497934116
"149","TGO",0,"51",0.054705752868958
"150","VCT",0,"51",0.0668311925208366
"151","ARE",1,"63",0.411918249650788
"152","BRB",0,"63",0.0575283581967921
"153","CIV",0,"63",0.223625618727055
"154","CIV",0,"63",0.104296415965615
"155","CMR",0,"63",0.328247837777964
"156","GHA",0,"63",0.255609762086684
"157","GIN",0,"63",0.121451793830715
"158","GNQ",0,"63",0.102884057289254
"159","GRD",0,"63",0.0467259098522589
"160","GRD",0,"63",0.0503631661580751
"161","GUY",1,"63",0.254608569985423
"162","HND",1,"63",0.892723974784345
"163","IDN",1,"63",0.620660689494907
"164","IDN",1,"63",0.641802474534076
"165","IND",1,"63",0.55035663811534
"166","LCA",0,"63",0.0484808484648946
"167","MAR",0,"63",0.245767421824863
"168","MOZ",1,"63",0.550731852117635
"169","MYS",0,"63",0.653165350050379
"170","MYS",0,"63",0.624369703647398
"171","PAK",1,"63",0.164580269242832
"172","PAK",1,"63",0.156042269276764
"173","PNG",1,"63",0.915702471508276
"174","TGO",0,"63",0.0649559974698629
"175","VCT",0,"63",0.0796101820514471
"176","ARE",1,"73",0.464669825804683
"177","BRB",0,"73",0.0855802985050001
"178","CIV",0,"73",0.288964854101427
"179","CIV",0,"73",0.149000081966877
"180","CMR",0,"73",0.417816759062008
"181","GHA",0,"73",0.32764806122791
"182","GIN",0,"73",0.171542476711018
"183","GNQ",0,"73",0.133220082859311
"184","GRD",0,"73",0.0763475025451409
"185","GRD",0,"73",0.0800105684247731
"186","GUY",1,"73",0.315232252065993
"187","HND",1,"73",0.861390334906049
"188","IDN",1,"73",0.645209768795732
"189","IDN",1,"73",0.649969127891195
"190","IND",1,"73",0.513115231956123
"191","LCA",0,"73",0.0781696148708409
"192","MAR",0,"73",0.239898490383465
"193","MOZ",1,"73",0.597467978525705
"194","MYS",0,"73",0.642637059156907
"195","MYS",0,"73",0.624866070465849
"196","PAK",1,"73",0.218330896458123
"197","PAK",1,"73",0.203347069207192
"198","PNG",1,"73",0.874200511576065
"199","TGO",0,"73",0.0876857390907713
"200","VCT",0,"73",0.10238602741276
"201","ARE",1,"82",0.334077367305317
"202","BRB",0,"82",0.0410421319805955
"203","CIV",0,"82",0.147380071454971
"204","CIV",0,"82",0.0635112829029568
"205","CMR",0,"82",0.251221863861367
