"","independent_value","pdp_value","run","variable"
"1",0,0.307464774109176,"854","logChondCatch"
"2",0.141499070993433,0.307464774109176,"854","logChondCatch"
"3",0.282998141986865,0.307464774109176,"854","logChondCatch"
"4",0.424497212980298,0.307464774109176,"854","logChondCatch"
"5",0.565996283973731,0.307464774109176,"854","logChondCatch"
"6",0.707495354967163,0.307464774109176,"854","logChondCatch"
"7",0.848994425960596,0.307464774109176,"854","logChondCatch"
"8",0.990493496954029,0.307464774109176,"854","logChondCatch"
"9",1.13199256794746,0.307464774109176,"854","logChondCatch"
"10",1.27349163894089,0.307464774109176,"854","logChondCatch"
"11",1.41499070993433,0.307464774109176,"854","logChondCatch"
"12",1.55648978092776,0.307464774109176,"854","logChondCatch"
"13",1.69798885192119,0.307464774109176,"854","logChondCatch"
"14",1.83948792291462,0.307464774109176,"854","logChondCatch"
"15",1.98098699390806,0.307464774109176,"854","logChondCatch"
"16",2.12248606490149,0.307464774109176,"854","logChondCatch"
"17",2.26398513589492,0.307464774109176,"854","logChondCatch"
"18",2.40548420688836,0.307464774109176,"854","logChondCatch"
"19",2.54698327788179,0.307464774109176,"854","logChondCatch"
"20",2.68848234887522,0.307464774109176,"854","logChondCatch"
"21",2.82998141986865,0.307464774109176,"854","logChondCatch"
"22",2.97148049086209,0.307464774109176,"854","logChondCatch"
"23",3.11297956185552,0.307464774109176,"854","logChondCatch"
"24",3.25447863284895,0.307464774109176,"854","logChondCatch"
"25",3.39597770384238,0.307464774109176,"854","logChondCatch"
"26",3.53747677483582,0.307464774109176,"854","logChondCatch"
"27",3.67897584582925,0.307464774109176,"854","logChondCatch"
"28",3.82047491682268,0.307464774109176,"854","logChondCatch"
"29",3.96197398781611,0.307464774109176,"854","logChondCatch"
"30",4.10347305880955,0.307464774109176,"854","logChondCatch"
"31",4.24497212980298,0.307464774109176,"854","logChondCatch"
"32",4.38647120079641,0.307464774109176,"854","logChondCatch"
"33",4.52797027178985,0.307464774109176,"854","logChondCatch"
"34",4.66946934278328,0.307464774109176,"854","logChondCatch"
"35",4.81096841377671,0.307464774109176,"854","logChondCatch"
"36",4.95246748477014,0.307464774109176,"854","logChondCatch"
"37",5.09396655576358,0.307464774109176,"854","logChondCatch"
"38",5.23546562675701,0.307464774109176,"854","logChondCatch"
"39",5.37696469775044,0.307464774109176,"854","logChondCatch"
"40",5.51846376874387,0.307464774109176,"854","logChondCatch"
"41",5.65996283973731,0.307464774109176,"854","logChondCatch"
"42",5.80146191073074,0.307464774109176,"854","logChondCatch"
"43",5.94296098172417,0.307464774109176,"854","logChondCatch"
"44",6.08446005271761,0.307464774109176,"854","logChondCatch"
"45",6.22595912371104,0.307464774109176,"854","logChondCatch"
"46",6.36745819470447,0.306791791048562,"854","logChondCatch"
"47",6.5089572656979,0.306791791048562,"854","logChondCatch"
"48",6.65045633669134,0.306791791048562,"854","logChondCatch"
"49",6.79195540768477,0.300600901645177,"854","logChondCatch"
"50",6.9334544786782,0.272613363080498,"854","logChondCatch"
"51",7.07495354967163,0.272613363080498,"854","logChondCatch"
"52",7.21645262066507,0.272613363080498,"854","logChondCatch"
"53",7.3579516916585,0.272613363080498,"854","logChondCatch"
"54",7.49945076265193,0.272613363080498,"854","logChondCatch"
"55",7.64094983364536,0.264552725221184,"854","logChondCatch"
"56",7.7824489046388,0.261282500883456,"854","logChondCatch"
"57",7.92394797563223,0.246067834133408,"854","logChondCatch"
"58",8.06544704662566,0.188058732915253,"854","logChondCatch"
"59",8.2069461176191,0.185942168856521,"854","logChondCatch"
"60",8.34844518861253,0.155545404016487,"854","logChondCatch"
"61",8.48994425960596,0.109600714808812,"854","logChondCatch"
"62",8.63144333059939,0.105745091076673,"854","logChondCatch"
"63",8.77294240159283,0.105553612579727,"854","logChondCatch"
"64",8.91444147258626,0.0968425701459079,"854","logChondCatch"
"65",9.05594054357969,0.0966047025050393,"854","logChondCatch"
"66",9.19743961457312,0.0902597232798484,"854","logChondCatch"
"67",9.33893868556656,0.0897033722934645,"854","logChondCatch"
"68",9.48043775655999,0.088919007026986,"854","logChondCatch"
"69",9.62193682755342,0.0918642454213999,"854","logChondCatch"
"70",9.76343589854685,0.0948346650228288,"854","logChondCatch"
"71",9.90493496954029,0.0943011403977463,"854","logChondCatch"
"72",10.0464340405337,0.0950831830782517,"854","logChondCatch"
"73",10.1879331115272,0.106662243298549,"854","logChondCatch"
"74",10.3294321825206,0.121406407034701,"854","logChondCatch"
"75",10.470931253514,0.131028577306707,"854","logChondCatch"
"76",10.6124303245075,0.244416640935531,"854","logChondCatch"
"77",10.7539293955009,0.251237095570848,"854","logChondCatch"
"78",10.8954284664943,0.251996133484854,"854","logChondCatch"
"79",11.0369275374877,0.275062607894818,"854","logChondCatch"
"80",11.1784266084812,0.378847912677622,"854","logChondCatch"
"81",11.3199256794746,0.41702241715238,"854","logChondCatch"
"82",11.461424750468,0.45387152878711,"854","logChondCatch"
"83",11.6029238214615,0.534998083806116,"854","logChondCatch"
"84",11.7444228924549,0.567485429224593,"854","logChondCatch"
"85",11.8859219634483,0.57286910789074,"854","logChondCatch"
"86",12.0274210344418,0.55924314864337,"854","logChondCatch"
"87",12.1689201054352,0.558370147404212,"854","logChondCatch"
"88",12.3104191764286,0.559884830603993,"854","logChondCatch"
"89",12.4519182474221,0.559884830603993,"854","logChondCatch"
"90",12.5934173184155,0.559884830603993,"854","logChondCatch"
"91",12.7349163894089,0.559884830603993,"854","logChondCatch"
"92",12.8764154604024,0.559884830603993,"854","logChondCatch"
