"country","method","citation"
"Congo","Historical ecology","Fernandez-Carvalho, J., Imhoff, JL., Faria, VV., Carlson, JK. & Burgess, GH. (2014). Status and potential for extinction of the largetooth sawfish Pristis pristis in the Atlantic Ocean. Aquatic Conservation - Marine and Freshwater Ecosystems 24, 478-497."
"Democratic Republic Of Congo","Historical ecology","Fernandez-Carvalho, J., Imhoff, JL., Faria, VV., Carlson, JK. & Burgess, GH. (2014). Status and potential for extinction of the largetooth sawfish Pristis pristis in the Atlantic Ocean. Aquatic Conservation - Marine and Freshwater Ecosystems 24, 478-497."
"Angola","Historical ecology","Fernandez-Carvalho, J., Imhoff, JL., Faria, VV., Carlson, JK. & Burgess, GH. (2014). Status and potential for extinction of the largetooth sawfish Pristis pristis in the Atlantic Ocean. Aquatic Conservation - Marine and Freshwater Ecosystems 24, 478-497."
"United States Of America","Historical ecology","Fernandez-Carvalho, J., Imhoff, JL., Faria, VV., Carlson, JK. & Burgess, GH. (2014). Status and potential for extinction of the largetooth sawfish Pristis pristis in the Atlantic Ocean. Aquatic Conservation - Marine and Freshwater Ecosystems 24, 478-497."
"United States Of America","Distribution mapping","Waters, JD., Coelho, R., Fernandez-Carvalho, J., Timmers, AA., Wiley, T., Seitz, JC., McDavitt, MT., Burgess, GH. & Poulakis, GR. (2014). Use of encounter data to model spatio-temporal distribution patterns of endangered smalltooth sawfish, Pristis pectinata, in the western Atlantic. Aquatic Conservation - Marine and Freshwater Ecosystems 24, 760-776."
"Australia","Taxonomy","Whitty, JM., Phillips, NM., Thorburn, DC., Simpfendorfer, CA., Field, I., Peverell, SC. & Morgan, DL. (2014). Utility of rostra in the identification of Australian sawfishes (Chondrichthyes: Pristidae). Aquatic Conservation - Marine and Freshwater Ecosystems 24, 791-804."
"Australia","Distribution mapping","Devitt, KR., Adams, VM. & Kyne, PM. (2015). Australia's protected area network fails to adequately protect the world's most threatened marine fishes. Global Ecology and Conservation 3, 401-411."
"United States Of America","Ecological research","Papastamatiou, YP., Grubbs, RD., Imhoff, JL., Gulak, SJB., Carlson, JK. & Burgess, GH. (2015). A subtropical embayment serves as essential habitat for sub-adults and adults of the critically endangered smalltooth sawfish. Global Ecology and Conservation 3, 764-775."
"South Africa","Historical ecology","Everett, BI., Cliff, G., Dudley, SFJ., Wintner, SP. & van der Elst, RP. (2015). Do sawfish Pristis spp. represent South Africa's first local extirpation of marine elasmobranchs in the modern era? African Journal of Marine Science 37, 275-284."
"Mexico","Historical ecology","Mendoza-Carranza, M. & Espinoza-Tenorio, A. (2015). A historical record of sawfish in the souther Gulf of Mexico: Evidence of diversity loss using old photos. Fisheries 40, 54-55."
