"country","method","citation"
"United States Of America","Ecological research","Bakenhaster, MD., Bullard, SA., Curran, SS., Kritsky, DC., Leone, EH., Partridge, LK., Ruiz, CF., Scharer, RM. & Poulakis, GR. (2018). Parasite component community of smalltooth sawfish off Florida: Diversity, conservation concerns, and research applications. Endangered Species Research 35, 47-58."
"United States Of America","Ecological research","Hollensead, LD., Grubbs, RD., Carlson, JK & Bethea, DM. (2018). Assessing residency time and habitat use of juvenile smalltooth sawfish using acoustic monitoring in a nursery habitat. Endangered Species Research 37, 119-131."
"Italy","Historical ecology","Mojetta, AR., Travaglini, A., Scacco, U. & Bottaro, M. (2018). Where sharks met humans: The Mediterranean Sea, history and myth of an ancient interaction between two dominant predators. Regional Studies in Marine Science 21, 30-38."
"Mexico","Ecological research","Diaz-Jaimes, P., Bonfil, R., Palacios-Barreto, P., Bolano-Martinez, N. & Bayona-Vasquez, NJ. (2018). Mitochondrial genome of the critically endangered smalltooth sawfish Pristis pectinata fro Veracruz, Mexico. Conservation Genetics Resources 10, 663-666."
"Uruguay","Distribution mapping","Cuevas, Jm., Garcia, M., Hozbor, N., Faria, VV. & Paesch, L. (2019). Tracing the occurrence of the Critically Endangered smalltooth sawfish Pristis pectinata at its southernmost distribution in the Southwest Atlantic Ocean. Endangered Species Research 38, 1-9."
"Argentina","Distribution mapping","Cuevas, Jm., Garcia, M., Hozbor, N., Faria, VV. & Paesch, L. (2019). Tracing the occurrence of the Critically Endangered smalltooth sawfish Pristis pectinata at its southernmost distribution in the Southwest Atlantic Ocean. Endangered Species Research 38, 1-9."
"Senegal","Ecological research","Downing, N. & Leeney, RH. (2019). Smalltooth sawfish (Pristis pectinata Latham, 1794) in the Casamance River, Senegal: A historical perspective. Aquatic Conservation - Marine and Freshwater Ecosystems 29, 72-84."
"Bangladesh","Fisheries","Haque, AB. & Das, SA. (2019). First confirmed record of the Critically Endangered green sawfish Pristis zijsron from Bangladeshi waters. Journal of Fish Biology 94, 200-203."
"Angola","Local ecological knowledge","Expert-generated from sawfish network"
"Costa Rica","Distribution mapping","Expert-generated from sawfish network"
"India","Local ecological knowledge","Expert-generated from sawfish network"
"Iran","Local ecological knowledge","Expert-generated from sawfish network"
"Madagascar","Local ecological knowledge","Expert-generated from sawfish network"
"Pakistan","Local ecological knowledge","Expert-generated from sawfish network"
"Saudi Arabia","Local ecological knowledge","Expert-generated from sawfish network"
"Senegal","Local ecological knowledge","Expert-generated from sawfish network"
"Sri Lanka","Local ecological knowledge","Expert-generated from sawfish network"
"Tanzania","Local ecological knowledge","Expert-generated from sawfish network"
"Costa Rica","Local ecological knowledge","Valerio-Vargas, J.A. & Espinoza, M. (2019). A beacon of hope: Distribution and current status of the largetooth sawfish in Costa Rica."
"Gabon","Local ecological knowledge","Expert-generated from sawfish network"
"Indonesia","Local ecological knowledge","Expert-generated from sawfish network"
"Papua New Guinea","Distribution mapping","Expert-generated from sawfish network"
"Papua New Guinea","Fisheries","Expert-generated from sawfish network"
"Malaysia","Ecological research","Manjaji-Matsumoto, B.M., Kyne, P.M., Yee, J.C., and Dickson, A.F. 2016. Tagging and Monitoring of Coastal Marine and Freshwater Elasmobranch Population in Sabah. WWF Malaysia Project Report (Shark Protection – Marine Programme; Project Number MA010311-000-GENF/ UMS Project Code GL00138). 50 p."
"Sierra Leone","Local ecological knowledge","Expert-generated from sawfish network"
"Peru","Local ecological knowledge","Expert-generated from sawfish network"
"Ecuador","Local ecological knowledge","Expert-generated from sawfish network"
"Peru","Fisheries","Mendoza, Alejandra, et al. ""The Largetooth Sawfish, Pristis pristis (Linnaeus, 1758), is not extirpated from Peru: new records from Tumbes."" Check List 13 (2017): 261."
"United States Of America","Ecological research","Expert-generated from sawfish network"
"Bangladesh","Fisheries","Expert-generated from sawfish network"
"Ecuador","Local ecological knowledge","Expert-generated from sawfish network"
"Ghana","Local ecological knowledge","Expert-generated from sawfish network"
"Philippines","Local ecological knowledge","Expert-generated from sawfish network"
"Mauritania","Local ecological knowledge","Expert-generated from sawfish network"
"Senegal","Local ecological knowledge","Expert-generated from sawfish network"
"The Gambia","Local ecological knowledge","Expert-generated from sawfish network"
"Guinea-Bissau","Local ecological knowledge","Expert-generated from sawfish network"
"Guinea","Local ecological knowledge","Expert-generated from sawfish network"
"Sierra Leone","Local ecological knowledge","Expert-generated from sawfish network"
