"ISO3","occurrence","logtotalGearTonnes","logPprodMean","logCoastPop","logEstDis","logProteinDiet","logGDP","HDI","logMang","WGI","logChondCatch","logShelfAreaShallow","SstMean","logFishEffort","speciesdwarf","speciesgreen","specieslarge","speciesnarrow","speciessmall"
"BLZ",1,11.915996710131,0.00180942500278426,12.5355130739789,3.79352096134715,0.811014070142837,7.46284656104611,0.706,4.86447976349249,-0.261449741166667,8.89836560695536,8.99356641093236,27.5,0.812208031940598,0,0,1,0,0
"BRA",1,17.1018234462599,0.0206451007471143,18.284986316511,9.27738902135426,0.655611838822876,14.4011769711649,0.754,8.35871128592507,-0.147756845666667,12.5552283910171,12.2985269083558,24,3.63513132722678,0,0,1,0,0
"COL",1,14.5207057221112,0.0217252279145933,16.3601809885632,6.81169174140102,0.47241816473757,12.5513047946953,0.727,7.21469827321062,-0.182256144666667,8.19533366716287,9.4200920000423,26,2.75283724748144,0,0,1,0,0
"CRI",1,14.3216328885228,0.0279667452999119,15.2704805735965,4.98975208317983,0.631171410504643,10.9584354428233,0.776,5.10533518468169,0.634873678333333,11.146200185178,7.61254573477372,27,2.15324589631785,0,0,1,0,0
"GUF",1,14.0522437629438,0.02201925796987,12.119664722789,6.7286286130847,0,8.14570714257996,0.751,0,1.116093268,6.69950034016168,9.44337464682252,27,0.103819328638997,0,0,1,0,0
"GUY",1,14.5697406920137,0.0206842943958448,13.3315329458236,6.95939851213398,2.43586173619156,8.16148920451755,0.638,4.61675179548346,-0.178316645166667,9.76296031739915,9.98260527284842,27,1.96428965689273,0,0,1,0,0
"HND",1,13.0334783376093,0.00132525146622577,15.5001427665742,4.80032570076213,0.267431231515326,9.97664228478674,0.625,4.93451722571873,-0.639568299166667,0,10.0511119533142,27.5,3.75202397523866,0,0,1,0,0
"NIC",1,14.1018479005244,0.0168143275570613,15.1161767668162,5.27967466627633,0.290907995637399,9.49038132529194,0.645,5.09558357803888,-0.582684382833333,8.49146504284351,10.592676372363,27.5,2.51425382894192,0,0,1,0,0
"PAN",1,14.9106407546231,0.0192126140569093,14.9877579927358,4.34176252022388,1.10638077780544,10.9185135011643,0.788,6.36687394191808,0.174687703333333,10.5947078779024,9.42389544197778,27,2.4214205660968,0,0,1,0,0
"SUR",1,14.9646487405536,0.0243079981479136,13.0285492779135,7.02435242656595,1.28456978506714,8.09542490578881,0.725,5.13642675667496,-0.1116734545,7.66996199547358,8.82358725943569,27,1.29274417008785,0,0,1,0,0
"ATG",0,0,0.000877329034310484,11.3209050257073,0,1.95839256543315,7.28697223193735,0.786,1.33811864571315,0.5781003685,6.31716468674728,6.88182464510457,27,1.0110642550364,0,0,1,0,0
"BRB",0,11.275529186541,0.00196007779183763,12.4735086423771,0.0295588022415444,1.77725223054295,8.41848825594376,0.795,0.0853192967289265,0.942998602833333,5.26269018890489,2.41894837728025,27,1.68575772238442,0,0,1,0,0
"DMA",0,8.83913082526207,0.00109490037775915,11.1867381566835,2.2203984220061,1.57570550715503,6.36729485008646,0.726,0.575350175805994,0.599157216166667,0,4.55995394202581,27,0.643569013690229,0,0,1,0,0
"GRD",0,10.0384118318922,0.00956263194528185,11.5421638275269,0,1.78503882298466,6.96336972373723,0.754,0.282793343314888,0.485954018833333,5.43372200355424,4.69556340368605,27.5,0.603222473031958,0,0,1,0,0
"GTM",0,14.426607489863,0.0376462050349028,15.9962850153995,4.70002571700077,0.145569492132228,11.1384394122025,0.64,4.35073024656774,-0.572035133833333,8.00903068506973,7.19801888590459,28,1.37601089786121,0,0,1,0,0
"LCA",0,10.3449617266739,0.0017684353959607,12.0088100248669,0.448524597568611,1.52923009679137,7.41942776405984,0.735,0.493060503525828,0.5663993305,4.81218435537242,3.3549726634703,27.5,0.863733481135479,0,0,1,0,0
